sample	speciesID	freq
21MD0114	ONCTSH	27257
21MD0114	SALTRU	0
21MD0115	ONCGOR	15
21MD0115	ONCKET	0
21MD0115	ONCKIS	24
21MD0115	ONCMYK	0
21MD0115	ONCNER	0
21MD0115	ONCTSH	56
21MD0115	SALTRU	0
21MD0116	ONCGOR	6408
21MD0116	ONCKET	0
21MD0116	ONCKIS	5742
21MD0116	ONCMYK	507
21MD0116	ONCNER	0
21MD0116	ONCTSH	18472
21MD0116	SALTRU	0
21MD0117	ONCGOR	16
21MD0117	ONCKET	0
21MD0117	ONCKIS	803
21MD0117	ONCMYK	0
21MD0117	ONCNER	0
21MD0117	ONCTSH	50
21MD0117	SALTRU	0
21MD0118	ONCGOR	0
21MD0118	ONCKET	0
21MD0118	ONCKIS	134
21MD0118	ONCMYK	0
21MD0118	ONCNER	0
21MD0118	ONCTSH	22
21MD0118	SALTRU	0
21MD0119	ONCGOR	12
21MD0119	ONCKET	0
21MD0119	ONCKIS	62
21MD0119	ONCMYK	0
21MD0119	ONCNER	0
21MD0119	ONCTSH	75
21MD0119	SALTRU	0
21MD0120	ONCGOR	11
21MD0120	ONCKET	0
21MD0120	ONCKIS	42
21MD0120	ONCMYK	0
21MD0120	ONCNER	0
21MD0120	ONCTSH	745
21MD0120	SALTRU	0
21MD0121	ONCGOR	12
21MD0121	ONCKET	0
21MD0121	ONCKIS	4261
21MD0121	ONCMYK	0
21MD0121	ONCNER	0
21MD0121	ONCTSH	46
21MD0121	SALTRU	0
21MD0122	ONCGOR	12
21MD0122	ONCKET	0
21MD0122	ONCKIS	31
21MD0122	ONCMYK	0
21MD0122	ONCNER	0
21MD0122	ONCTSH	34
21MD0122	SALTRU	0
21MD0123	ONCGOR	59
21MD0123	ONCKET	0
21MD0123	ONCKIS	157
21MD0123	ONCMYK	0
21MD0123	ONCNER	0
21MD0123	ONCTSH	231
21MD0123	SALTRU	0
21MD0125	ONCGOR	14
21MD0125	ONCKET	0
21MD0125	ONCKIS	39
21MD0125	ONCMYK	0
21MD0125	ONCNER	0
21MD0125	ONCTSH	61
21MD0125	SALTRU	0
21MD0126	ONCGOR	0
21MD0126	ONCKET	0
21MD0126	ONCKIS	21
21MD0126	ONCMYK	0
21MD0126	ONCNER	0
21MD0126	ONCTSH	25
21MD0126	SALTRU	0
21MD0127	ONCGOR	31
21MD0127	ONCKET	0
21MD0127	ONCKIS	50
21MD0127	ONCMYK	0
21MD0127	ONCNER	0
21MD0127	ONCTSH	189
21MD0127	SALTRU	0
21MD0128	ONCGOR	20
21MD0128	ONCKET	0
21MD0128	ONCKIS	18884
21MD0128	ONCMYK	3
21MD0128	ONCNER	0
21MD0128	ONCTSH	122
21MD0128	SALTRU	2
21MD0129	ONCGOR	11
21MD0129	ONCKET	0
21MD0129	ONCKIS	14
21MD0129	ONCMYK	0
21MD0129	ONCNER	0
21MD0129	ONCTSH	45
21MD0129	SALTRU	0
21MD0130	ONCGOR	26
21MD0130	ONCKET	0
21MD0130	ONCKIS	72
21MD0130	ONCMYK	0
21MD0130	ONCNER	0
21MD0130	ONCTSH	132
21MD0130	SALTRU	0
21MD0131	ONCGOR	16
21MD0131	ONCKET	0
21MD0131	ONCKIS	55
21MD0131	ONCMYK	0
21MD0131	ONCNER	0
21MD0131	ONCTSH	1124
21MD0131	SALTRU	0
21MD0132	ONCGOR	8
21MD0132	ONCKET	0
21MD0132	ONCKIS	36
21MD0132	ONCMYK	0
21MD0132	ONCNER	0
21MD0132	ONCTSH	62
21MD0132	SALTRU	0
21MD0133	ONCGOR	70
21MD0133	ONCKET	0
21MD0133	ONCKIS	51
21MD0133	ONCMYK	0
21MD0133	ONCNER	0
21MD0133	ONCTSH	52
21MD0133	SALTRU	0
21MD0134	ONCGOR	37
21MD0134	ONCKET	0
21MD0134	ONCKIS	83
21MD0134	ONCMYK	0
21MD0134	ONCNER	0
21MD0134	ONCTSH	4429
21MD0134	SALTRU	0
21MD0135	ONCGOR	16
21MD0135	ONCKET	0
21MD0135	ONCKIS	66
21MD0135	ONCMYK	0
21MD0135	ONCNER	0
21MD0135	ONCTSH	40
21MD0135	SALTRU	0
21MD0136	ONCGOR	19
21MD0136	ONCKET	0
21MD0136	ONCKIS	71
21MD0136	ONCMYK	0
21MD0136	ONCNER	0
21MD0136	ONCTSH	126
21MD0136	SALTRU	0
21MD0137	ONCGOR	202
21MD0137	ONCKET	0
21MD0137	ONCKIS	215
21MD0137	ONCMYK	14
21MD0137	ONCNER	0
21MD0137	ONCTSH	660
21MD0137	SALTRU	0
21MD0138	ONCGOR	10
21MD0138	ONCKET	0
21MD0138	ONCKIS	37
21MD0138	ONCMYK	0
21MD0138	ONCNER	0
21MD0138	ONCTSH	66
21MD0138	SALTRU	0
21MD0139	ONCGOR	58
21MD0139	ONCKET	0
21MD0139	ONCKIS	11234
21MD0139	ONCMYK	0
21MD0139	ONCNER	0
21MD0139	ONCTSH	440
21MD0139	SALTRU	0
21MD0140	ONCGOR	9
21MD0140	ONCKET	0
21MD0140	ONCKIS	28
21MD0140	ONCMYK	0
21MD0140	ONCNER	0
21MD0140	ONCTSH	53
21MD0140	SALTRU	0
21MD0141	ONCGOR	15
21MD0141	ONCKET	0
21MD0141	ONCKIS	33
21MD0141	ONCMYK	0
21MD0141	ONCNER	0
21MD0141	ONCTSH	60
21MD0141	SALTRU	0
21MD0142	ONCGOR	18344
21MD0142	ONCKET	0
